IP地址,最小延迟(ms),最大延迟(ms),平均延迟(ms),丢包率(%)
162.159.128.12,77,101,87,0
172.67.151.240,135,210,172,0
172.67.157.62,136,208,173,0
172.67.149.174,133,199,174,0
172.67.133.156,168,194,176,0
172.67.152.46,138,196,177,0
172.67.148.129,162,197,177,0
172.67.12.135,168,211,178,0
172.67.15.152,168,204,178,0
172.67.9.210,169,207,179,0
172.67.153.143,147,202,179,0
172.67.134.240,170,207,180,0
172.67.144.234,131,199,180,0
172.67.5.101,170,206,180,0
172.67.137.25,169,210,180,0
172.67.130.112,170,203,180,0
172.67.140.130,169,207,180,0
172.67.142.84,168,208,180,0
172.67.141.88,168,211,181,0
172.67.135.219,168,207,182,0
172.67.136.249,170,206,182,0
172.67.3.178,167,213,182,0
172.67.6.39,169,209,182,0
172.67.128.131,168,202,182,0
172.67.7.220,170,215,182,0
172.67.11.46,168,207,183,0
172.67.77.2,163,207,183,0
172.67.139.71,168,215,183,0
172.67.14.69,169,206,184,0
172.67.129.65,170,209,184,0
172.67.143.118,169,209,185,0
172.67.13.129,169,211,185,0
172.67.158.132,160,197,185,0
172.67.147.68,162,198,186,0
172.67.4.68,170,211,186,0
172.65.178.24,170,212,186,0
172.67.209.90,158,214,186,0
172.67.2.226,169,212,186,0
172.67.172.148,164,198,186,0
172.67.174.102,163,201,187,0
172.67.132.81,171,210,187,0
172.67.68.204,165,198,187,0
172.67.218.130,166,209,188,0
172.67.171.196,164,203,188,0
172.67.73.17,165,202,189,0
172.67.155.254,167,208,189,0
172.67.65.36,164,201,189,0
172.67.0.121,168,223,189,0
172.67.220.84,153,217,189,0
172.66.45.92,167,224,190,0
172.67.223.146,175,208,190,0
172.67.168.24,161,200,190,0
104.18.180.160,163,213,190,0
172.67.72.14,164,206,190,0
172.67.1.129,171,224,191,0
172.67.74.68,165,199,191,0
172.67.71.133,164,202,191,0
172.67.156.181,166,215,191,0
172.67.166.235,164,203,191,0
172.67.154.221,162,210,191,0
172.67.76.170,163,211,191,0
172.67.161.55,167,202,191,0
172.67.160.64,164,203,192,0
172.67.10.55,169,241,192,0
172.67.212.105,166,213,192,0
172.67.67.17,164,213,192,0
172.67.75.207,167,200,192,0
172.67.221.113,142,211,193,0
172.67.78.190,171,213,193,0
198.41.212.140,169,217,193,0
172.67.66.208,167,217,193,0
190.93.246.23,171,211,193,0
162.159.43.74,167,205,193,0
